,Unnamed: 0,EmbryoID,Position,Membrane signal,Cytoplasmic signal
0,0,0,0,55.80667,-6.3675065
1,1,0,1,33.44122,-6.3675065
2,2,0,2,-19.765484,-6.3675065
3,3,0,3,-19.765484,-6.3675065
4,4,0,4,-19.765484,-6.3675065
5,5,0,5,-19.765484,-6.3675065
6,6,0,6,-19.765484,-6.3675065
7,7,0,7,-19.765484,-6.3675065
8,8,0,8,-19.765484,-6.3675065
9,9,0,9,-19.765484,-6.3675065
10,10,0,10,19.243555,-6.3675065
11,11,0,11,398.5541,-6.3675065
12,12,0,12,-19.765484,-6.3675065
13,13,0,13,-19.765484,-6.3675065
14,14,0,14,-19.765484,-6.3675065
15,15,0,15,-19.765484,-6.3675065
16,16,0,16,-19.765484,-6.3675065
17,17,0,17,-19.765484,-6.3675065
18,18,0,18,-19.765484,-6.3675065
19,19,0,19,-19.765484,-6.3675065
20,20,0,20,-19.765484,-6.3675065
21,21,0,21,-19.765484,-6.3675065
22,22,0,22,-19.765484,-6.3675065
23,23,0,23,-19.765484,-6.3675065
24,24,0,24,-19.765484,-6.3675065
25,25,0,25,-19.765484,-6.3675065
26,26,0,26,-19.765484,-6.3675065
27,27,0,27,-19.765484,-6.3675065
28,28,0,28,-19.765484,-6.3675065
29,29,0,29,-19.765484,-6.3675065
30,30,0,30,316.88504,-6.3675065
31,31,0,31,-19.765484,-6.3675065
32,32,0,32,-19.765484,-6.3675065
33,33,0,33,-19.765484,-6.3675065
34,34,0,34,-19.765484,-6.3675065
35,35,0,35,-19.765484,-6.3675065
36,36,0,36,-19.765484,-6.3675065
37,37,0,37,-19.765484,-6.3675065
38,38,0,38,-19.765484,-6.3675065
39,39,0,39,-19.765484,-6.3675065
40,40,0,40,-19.765484,-6.3675065
41,41,0,41,-19.765484,-6.3675065
42,42,0,42,-19.765484,-6.3675065
43,43,0,43,-19.765484,-6.3675065
44,44,0,44,-19.765484,-6.3675065
45,45,0,45,-19.765484,-6.3675065
46,46,0,46,134.69867,-6.3675065
47,47,0,47,-19.765484,-6.3675065
48,48,0,48,-19.765484,-6.3675065
49,49,0,49,-19.765484,-6.3675065
50,50,0,50,106.83326,-6.3675065
51,51,0,51,-19.765484,-6.3675065
52,52,0,52,-19.765484,-6.3675065
53,53,0,53,95.641525,-6.3675065
54,54,0,54,46.874462,-6.3675065
55,55,0,55,-19.765484,-6.3675065
56,56,0,56,-19.765484,-6.3675065
57,57,0,57,-19.765484,-6.3675065
58,58,0,58,52.88324,-6.3675065
59,59,0,59,-19.765484,-6.3675065
60,60,0,60,-19.765484,-6.3675065
61,61,0,61,-19.765484,-6.3675065
62,62,0,62,-19.765484,-6.3675065
63,63,0,63,-19.765484,-6.3675065
64,64,0,64,-19.765484,-6.3675065
65,65,0,65,-19.765484,-6.3675065
66,66,0,66,-19.765484,-6.3675065
67,67,0,67,-19.765484,-6.3675065
68,68,0,68,-19.765484,-6.3675065
69,69,0,69,50.49762,-6.3675065
70,70,0,70,-19.765484,-6.3675065
71,71,0,71,-19.765484,-6.3675065
72,72,0,72,-19.765484,-6.3675065
73,73,0,73,-19.765484,-6.3675065
74,74,0,74,-19.765484,-6.3675065
75,75,0,75,-19.765484,-6.3675065
76,76,0,76,-19.765484,-6.3675065
77,77,0,77,-19.765484,-6.3675065
78,78,0,78,-19.765484,-6.3675065
79,79,0,79,-19.765484,-6.3675065
80,80,0,80,-19.765484,-6.3675065
81,81,0,81,-19.765482,-6.3675065
82,82,0,82,246.54117,-6.3675065
83,83,0,83,-19.765484,-6.3675065
84,84,0,84,-19.765484,-6.3675065
85,85,0,85,204.52745,-6.3675065
86,86,0,86,-19.765484,-6.3675065
87,87,0,87,-19.765484,-6.3675065
88,88,0,88,-19.765484,-6.3675065
89,89,0,89,-19.765484,-6.3675065
90,90,0,90,-19.765484,-6.3675065
