,Line,Embryo,mem_pre,mem_post,cyt_pre,cyt_post
0,nwg206,E0,0.12052973,0.12443341,2.60767,2.5293996
1,nwg206,E1,0.14610285,0.13848902,2.9622533,2.9216673
2,nwg206,E2,0.070801094,0.074070275,2.992054,2.9267652
3,nwg206,E3,0.056071747,0.063548766,2.642948,2.6087794
4,nwg206,E4,0.041429676,0.04686878,2.537553,2.5051901
5,sv2061,E0,0.101988025,1.0123955,2.3444195,1.8746344
6,sv2061,E1,0.17654857,0.88690776,1.7993841,1.4173537
7,sv2061,E3,0.12226925,0.8178242,2.4199467,1.9664556
8,sv2061,E4,0.1092651,0.7778914,2.516674,2.1316876
9,sv2061,E5,0.1043515,0.85190254,2.1764636,1.7739925
10,sv2061,E6,0.16311824,1.1195937,2.5148644,2.0332458
11,sv2061,E7,0.18696466,1.1130823,2.3362553,1.8733537
12,sv2061,E8,0.13092928,1.1881888,2.3927405,1.8666562
