Line,Embryo,mem_pre,mem_post,cyt_pre,cyt_post
nwg206,E0,0.12007594,0.123923644,2.6078799,2.5296311
nwg206,E1,0.14570951,0.13810012,2.962451,2.92186
nwg206,E2,0.07050597,0.07383963,2.9921892,2.9268775
nwg206,E3,0.05583312,0.063307576,2.6430557,2.6088912
nwg206,E4,0.041152094,0.046597984,2.5376704,2.5053072
sv2061,E0,0.10147585,1.0093311,2.3446445,1.8761119
sv2061,E1,0.17591693,0.8847094,1.7996775,1.4184746
sv2061,E3,0.12157582,0.813767,2.4202445,1.9682137
sv2061,E4,0.108555526,0.77391094,2.5169723,2.1334045
sv2061,E5,0.10367917,0.8477102,2.1767466,1.7758111
sv2061,E6,0.16194452,1.1155347,2.5153506,2.0351188
sv2061,E7,0.1854956,1.1091458,2.3368561,1.8751796
sv2061,E8,0.13021965,1.1847755,2.3930466,1.8683237
