,EmbryoID,Position,Membrane signal,Cytoplasmic signal
0,0,0,54.591003,-6.3675065
1,0,1,35.40901,-6.3675065
2,0,2,-19.776445,-6.3675065
3,0,3,-19.776447,-6.3675065
4,0,4,-19.776445,-6.3675065
5,0,5,-19.776447,-6.3675065
6,0,6,-19.776447,-6.3675065
7,0,7,-19.776447,-6.3675065
8,0,8,-19.776447,-6.3675065
9,0,9,-19.776445,-6.3675065
10,0,10,20.615753,-6.3675065
11,0,11,398.52298,-6.3675065
12,0,12,-19.776445,-6.3675065
13,0,13,-19.776445,-6.3675065
14,0,14,-19.776445,-6.3675065
15,0,15,-19.776447,-6.3675065
16,0,16,-19.776445,-6.3675065
17,0,17,-19.776445,-6.3675065
18,0,18,-19.776447,-6.3675065
19,0,19,-19.776445,-6.3675065
20,0,20,-19.776445,-6.3675065
21,0,21,-19.776445,-6.3675065
22,0,22,-19.776445,-6.3675065
23,0,23,-19.776445,-6.3675065
24,0,24,-19.776445,-6.3675065
25,0,25,-19.776447,-6.3675065
26,0,26,-19.776445,-6.3675065
27,0,27,-19.776445,-6.3675065
28,0,28,-19.776447,-6.3675065
29,0,29,-19.776445,-6.3675065
30,0,30,319.5371,-6.3675065
31,0,31,-19.776447,-6.3675065
32,0,32,-19.776445,-6.3675065
33,0,33,-19.776445,-6.3675065
34,0,34,-19.776447,-6.3675065
35,0,35,-19.776445,-6.3675065
36,0,36,-19.776445,-6.3675065
37,0,37,-19.776445,-6.3675065
38,0,38,-19.776445,-6.3675065
39,0,39,-19.776447,-6.3675065
40,0,40,-19.776447,-6.3675065
41,0,41,-19.776445,-6.3675065
42,0,42,-19.776447,-6.3675065
43,0,43,-19.776445,-6.3675065
44,0,44,-19.776445,-6.3675065
45,0,45,-19.776447,-6.3675065
46,0,46,136.19412,-6.3675065
47,0,47,-19.776445,-6.3675065
48,0,48,-19.776445,-6.3675065
49,0,49,-19.776447,-6.3675065
50,0,50,107.41798,-6.3675065
51,0,51,-19.776447,-6.3675065
52,0,52,-19.776447,-6.3675065
53,0,53,97.0418,-6.3675065
54,0,54,46.88704,-6.3675065
55,0,55,-19.776445,-6.3675065
56,0,56,-19.776447,-6.3675065
57,0,57,-19.776445,-6.3675065
58,0,58,54.337734,-6.3675065
59,0,59,-19.776445,-6.3675065
60,0,60,-19.776445,-6.3675065
61,0,61,-19.776445,-6.3675065
62,0,62,-19.776447,-6.3675065
63,0,63,-19.776445,-6.3675065
64,0,64,-19.776447,-6.3675065
65,0,65,-19.776445,-6.3675065
66,0,66,-19.776445,-6.3675065
67,0,67,-19.776445,-6.3675065
68,0,68,-19.776447,-6.3675065
69,0,69,50.09131,-6.3675065
70,0,70,-19.776445,-6.3675065
71,0,71,-19.776447,-6.3675065
72,0,72,-19.776445,-6.3675065
73,0,73,-19.776445,-6.3675065
74,0,74,-19.776447,-6.3675065
75,0,75,-19.776445,-6.3675065
76,0,76,-19.776445,-6.3675065
77,0,77,-19.776447,-6.3675065
78,0,78,-19.776445,-6.3675065
79,0,79,-19.776447,-6.3675065
80,0,80,-19.776447,-6.3675065
81,0,81,-19.776447,-6.3675065
82,0,82,243.05357,-6.3675065
83,0,83,-19.776445,-6.3675065
84,0,84,-19.776447,-6.3675065
85,0,85,203.06992,-6.3675065
86,0,86,-19.776447,-6.3675065
87,0,87,-19.776447,-6.3675065
88,0,88,-19.776447,-6.3675065
89,0,89,-19.776447,-6.3675065
90,0,90,-19.776445,-6.3675065
91,0,91,-19.776445,-6.3675065
92,0,92,-19.776447,-6.3675065
93,0,93,-19.776445,-6.3675065
94,0,94,-19.776447,-6.3675065
95,0,95,65.25763,-6.3675065
96,0,96,-19.776445,-6.3675065
97,0,97,-19.776447,-6.3675065
98,0,98,-6.375076,-6.3675065
99,0,99,-19.776447,-6.3675065
0,1,0,241.14096,16.122334
1,1,1,382.81482,16.122334
2,1,2,174.28769,16.122334
3,1,3,808.43396,16.122334
4,1,4,839.70123,16.122334
5,1,5,812.53326,16.122334
6,1,6,110.124825,16.122334
7,1,7,-27.976265,16.122334
8,1,8,-8.522744,16.122334
9,1,9,748.5203,16.122334
10,1,10,701.4977,16.122334
11,1,11,382.17926,16.122334
12,1,12,499.6038,16.122334
13,1,13,1288.8385,16.122334
14,1,14,362.7043,16.122334
15,1,15,210.30948,16.122334
16,1,16,329.15854,16.122334
17,1,17,358.47656,16.122334
18,1,18,832.0588,16.122334
19,1,19,467.357,16.122334
20,1,20,999.43066,16.122334
21,1,21,542.90015,16.122334
22,1,22,235.50284,16.122334
23,1,23,-27.888264,16.122334
24,1,24,346.6272,16.122334
25,1,25,360.38773,16.122334
26,1,26,456.66965,16.122334
27,1,27,-27.976265,16.122334
28,1,28,-27.976265,16.122334
29,1,29,-27.976265,16.122334
30,1,30,90.83118,16.122334
31,1,31,837.1505,16.122334
32,1,32,-27.976265,16.122334
33,1,33,-27.976265,16.122334
34,1,34,319.4128,16.122334
35,1,35,-27.976265,16.122334
36,1,36,-27.976267,16.122334
37,1,37,-27.976265,16.122334
38,1,38,-27.976265,16.122334
39,1,39,-27.976265,16.122334
40,1,40,-27.976265,16.122334
41,1,41,120.35755,16.122334
42,1,42,-27.976265,16.122334
43,1,43,-27.976265,16.122334
44,1,44,-3.518735,16.122334
45,1,45,-27.976267,16.122334
46,1,46,365.2712,16.122334
47,1,47,-27.976265,16.122334
48,1,48,343.6318,16.122334
49,1,49,145.89435,16.122334
50,1,50,389.20197,16.122334
51,1,51,747.6539,16.122334
52,1,52,375.76752,16.122334
53,1,53,-27.976265,16.122334
54,1,54,-27.976265,16.122334
55,1,55,-27.976265,16.122334
56,1,56,215.63321,16.122334
57,1,57,-27.976265,16.122334
58,1,58,470.8324,16.122334
59,1,59,-27.976265,16.122334
60,1,60,-27.976267,16.122334
61,1,61,-8.755666,16.122334
62,1,62,-27.976267,16.122334
63,1,63,-27.976267,16.122334
64,1,64,-27.976265,16.122334
65,1,65,-27.976265,16.122334
66,1,66,-27.976265,16.122334
67,1,67,-27.976265,16.122334
68,1,68,-27.976265,16.122334
69,1,69,-27.976265,16.122334
70,1,70,383.29617,16.122334
71,1,71,243.13539,16.122334
72,1,72,-27.976154,16.122334
73,1,73,-27.976265,16.122334
74,1,74,253.45367,16.122334
75,1,75,554.1734,16.122334
76,1,76,833.80725,16.122334
77,1,77,739.6932,16.122334
78,1,78,90.67665,16.122334
79,1,79,-4.218426,16.122334
80,1,80,452.7547,16.122334
81,1,81,341.74896,16.122334
82,1,82,1178.1401,16.122334
83,1,83,589.9546,16.122334
84,1,84,265.91763,16.122334
85,1,85,-27.976267,16.122334
86,1,86,488.13422,16.122334
87,1,87,-10.32878,16.122334
88,1,88,-27.976265,16.122334
89,1,89,-27.976267,16.122334
90,1,90,609.3516,16.122334
91,1,91,459.08936,16.122334
92,1,92,209.14041,16.122334
93,1,93,580.7853,16.122334
94,1,94,795.7021,16.122334
95,1,95,975.4902,16.122334
96,1,96,312.75903,16.122334
97,1,97,1284.1886,16.122334
98,1,98,438.50513,16.122334
99,1,99,284.60593,16.122334
0,2,0,112.845894,0.11200451
1,2,1,180.63374,0.11200451
2,2,2,95.85314,0.11200451
3,2,3,-20.666925,0.11200451
4,2,4,358.51434,0.11200451
5,2,5,-20.666927,0.11200451
6,2,6,-20.666925,0.11200451
7,2,7,-20.666925,0.11200451
8,2,8,-0.22285804,0.11200451
9,2,9,132.19432,0.11200451
10,2,10,44.63365,0.11200451
11,2,11,68.486435,0.11200451
12,2,12,217.91557,0.11200451
13,2,13,124.66068,0.11200451
14,2,14,700.69836,0.11200451
15,2,15,116.99695,0.11200451
