,Unnamed: 0,Path,EmbryoID,Line,Date,RNAi,Cyt,Mem_tot,Mem_ant,Mem_post,UniPol,Genotype
0,0,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,30_",1580292350,lp637,200129,wt,1.0755367396852572e-08,2.3696401669347245e-06,-4.316376716728374e-08,5.524253922875029e-06,Pol,WT
1,1,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,30_1",1580292382,lp637,200129,wt,1.0010853023695974e-08,2.2611762897270104e-06,-5.1747480186785926e-08,5.474902420110125e-06,Pol,WT
2,2,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,30_2",1580292449,lp637,200129,wt,9.864817558933966e-09,2.210199917900565e-06,-5.480251996632809e-08,5.365391976619771e-06,Pol,WT
3,3,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,60_",1580292501,lp637,200129,wt,9.87775783851724e-09,2.2290222022117536e-06,-5.690400175288439e-08,5.292069631419139e-06,Pol,WT
4,4,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,60_1",1580292520,lp637,200129,wt,9.81163373163325e-09,2.2155484358583504e-06,-5.723060018811557e-08,5.212440907848837e-06,Pol,WT
5,5,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,60_2",1580292634,lp637,200129,wt,8.981660394247743e-09,1.8205059664013998e-06,7.83184304435615e-08,4.116263011621357e-06,Pol,WT
6,6,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,60_3",1580292710,lp637,200129,wt,1.0429723806288394e-08,1.9529464365077627e-06,-4.3564373713292204e-08,4.734466186010908e-06,Pol,WT
7,7,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,60_4",1580292794,lp637,200129,wt,1.1522821612859402e-08,2.200471086761519e-06,-6.035332088651239e-08,4.976181682341602e-06,Pol,WT
8,8,"/Imaging/par2_nebd/200129_lp637_wt_tom4,15,60/15,60_5",1580292871,lp637,200129,wt,1.058699094652276e-08,2.3605899503885608e-06,-7.733697849170401e-08,5.515933107608054e-06,Pol,WT
17,17,"/Imaging/par2_nebd/200131_lp637_2001301800par2_tom4,15,60/00",1580465014,lp637,200131,2001301800par2,3.2029078763775512e-09,1.5265958564313792e-07,6.397053874187947e-08,3.5227306475734197e-07,Pol,WT
18,18,"/Imaging/par2_nebd/200131_lp637_2001301800par2_tom4,15,60/01",1580465112,lp637,200131,2001301800par2,2.545093432818479e-09,7.873931660640013e-08,4.757244299417239e-08,1.3982343899178063e-07,Pol,WT
19,19,"/Imaging/par2_nebd/200131_lp637_2001301800par2_tom4,15,60/02",1580465526,lp637,200131,2001301800par2,2.8295325973137333e-09,1.051321994376224e-07,3.781356140541687e-08,2.405063917553851e-07,Pol,WT
20,20,"/Imaging/par2_nebd/200131_lp637_2001301800par2_tom4,15,60/03",1580465615,lp637,200131,2001301800par2,3.475053775268693e-09,1.272851953958337e-07,3.5295485378407395e-08,3.339071774440114e-07,Pol,WT
21,21,"/Imaging/par2_nebd/200131_lp637_2001301800par2_tom4,15,60/04",1580465704,lp637,200131,2001301800par2,3.4347790441164944e-09,1.8206927618140532e-07,2.8035624812057378e-08,5.403725514752976e-07,Pol,WT
24,24,"/Imaging/par2_nebd/200131_nwg201_2001301800par2_tom4,15,60/06",1580466806,nwg201,200131,2001301800par2,2.5661227968806687e-09,1.877069859724722e-07,1.365638011522058e-07,2.3402883251674458e-07,Uni,WT
25,25,"/Imaging/par2_nebd/200131_nwg201_2001301800par2_tom4,15,60/07",1580466933,nwg201,200131,2001301800par2,6.470246931829916e-10,9.409137493553191e-08,6.144262152515486e-08,1.0337283148809938e-07,Uni,WT
26,26,"/Imaging/par2_nebd/200131_nwg201_2001301800par2_tom4,15,60/08",1580467263,nwg201,200131,2001301800par2,2.2661529285233516e-09,8.740473911952628e-08,8.697516783182376e-08,1.4885298939979124e-07,Uni,WT
27,27,"/Imaging/par2_nebd/200131_nwg201_2001301800par2_tom4,15,60/09",1580467394,nwg201,200131,2001301800par2,1.555890203274883e-09,5.267607903277508e-08,2.8727971135830228e-08,6.116064193208882e-08,Uni,WT
28,28,"/Imaging/par2_nebd/200131_nwg201_2001301800par2_tom4,15,60/10",1580467481,nwg201,200131,2001301800par2,1.8521053154167049e-09,9.65272476445545e-08,8.52736512764747e-08,1.3603284753821142e-07,Uni,WT
29,29,"/Imaging/par2_nebd/200131_nwg201_2001301800par2_tom4,15,60/11",1580467559,nwg201,200131,2001301800par2,1.7280734010079817e-09,6.914088080547194e-08,6.135816264576237e-08,7.824873284190307e-08,Uni,WT
38,38,"/Imaging/par2_nebd/200131_nwg201_wt_tom4,15,60/18",1580469608,nwg201,200131,wt,7.251991393836378e-09,2.096743828162578e-06,2.051196118632677e-06,2.396646518865445e-06,Uni,WT
39,39,"/Imaging/par2_nebd/200131_nwg201_wt_tom4,15,60/19",1580469705,nwg201,200131,wt,7.323758969348106e-09,1.9421130716663143e-06,1.7113099859342832e-06,2.375835895385272e-06,Uni,WT
40,40,"/Imaging/par2_nebd/200131_nwg201_wt_tom4,15,60/20",1580469806,nwg201,200131,wt,7.944810624462171e-09,2.3763145994279165e-06,1.9870849943975257e-06,2.6636922625739695e-06,Uni,WT
41,41,"/Imaging/par2_nebd/200131_nwg201_wt_tom4,15,60/21",1580469929,nwg201,200131,wt,8.293291992746523e-09,2.0330486820215e-06,2.126080963251245e-06,2.3645703830353878e-06,Uni,WT
42,42,"/Imaging/par2_nebd/200131_nwg201_wt_tom4,15,60/22",1580470040,nwg201,200131,wt,8.725638191985345e-09,2.323313991381654e-06,2.4224927095287974e-06,2.429423232650542e-06,Uni,WT
46,46,"/Imaging/par2_nebd/200131_lp637_2001310930par2_tom4,15,60/30",1580477460,lp637,200131,2001310930par2,1.1084164292429365e-08,1.90502480791243e-06,-5.4939984562994255e-08,5.210853635986389e-06,Pol,WT
47,47,"/Imaging/par2_nebd/200131_lp637_2001310930par2_tom4,15,60/32",1580477805,lp637,200131,2001310930par2,1.0809400451147024e-08,1.8486887142635178e-06,-4.196337542024389e-08,4.395399658376474e-06,Pol,WT
48,48,"/Imaging/par2_nebd/200131_lp637_2001310930par2_tom4,15,60/33",1580477895,lp637,200131,2001310930par2,1.0781189874757262e-08,2.4091513859194876e-06,-5.356623025502053e-08,6.333951009047216e-06,Pol,WT
49,49,"/Imaging/par2_nebd/200131_lp637_2001310930par2_tom4,15,60/34",1580478174,lp637,200131,2001310930par2,1.098859354968e-08,1.8991820961452634e-06,-5.26997724482156e-08,4.7186883953630686e-06,Pol,WT
50,50,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/34",1580478374,nwg201,200131,2001310930par2,7.799997685677877e-09,2.1310793660927833e-06,1.870452772337882e-06,2.315486678253931e-06,Uni,WT
51,51,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/35",1580478458,nwg201,200131,2001310930par2,6.766337310232684e-09,2.009872170663072e-06,2.020100045583746e-06,2.403757670554711e-06,Uni,WT
52,52,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/36",1580478555,nwg201,200131,2001310930par2,7.3129519073726156e-09,1.6710158548933492e-06,1.6904061509169411e-06,1.9939076254517025e-06,Uni,WT
53,53,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/37",1580478641,nwg201,200131,2001310930par2,6.710177805079397e-09,1.7415597932790238e-06,1.7307359104817835e-06,2.121040894214026e-06,Uni,WT
54,54,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/38",1580478817,nwg201,200131,2001310930par2,7.3249414587278405e-09,1.9743130286946116e-06,1.8857036597801917e-06,2.3548480712883993e-06,Uni,WT
55,55,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/39",1580478938,nwg201,200131,2001310930par2,7.345711994642533e-09,1.930561286245789e-06,1.7409688455596663e-06,2.1931815286895296e-06,Uni,WT
65,65,"/Imaging/par2_nebd/200131_lp637_2001310930par2_tom4,15,60/46",1580483608,lp637,200131,2001310930par2,7.939660564612333e-09,1.0433003902044348e-06,-2.8266915294916507e-08,3.226414550423709e-06,Pol,WT
66,66,"/Imaging/par2_nebd/200131_lp637_2001310930par2_tom4,15,60/47",1580483779,lp637,200131,2001310930par2,8.035419648540922e-09,1.1049930305457373e-06,-7.706621716052916e-09,2.7902430730559036e-06,Pol,WT
67,67,"/Imaging/par2_nebd/200131_lp637_2001310930par2_tom4,15,60/48",1580483848,lp637,200131,2001310930par2,9.273165172442595e-09,1.611739406669323e-06,7.358404913909066e-08,4.247331752319861e-06,Pol,WT
68,68,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/48",1580484345,nwg201,200131,2001310930par2,7.3148759196585765e-09,1.3024228799166138e-06,1.0785565361771195e-06,1.4575310981258017e-06,Uni,WT
69,69,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/50",1580484742,nwg201,200131,2001310930par2,7.136747456294377e-09,1.4203003471115884e-06,1.412055003877723e-06,1.5916104518660931e-06,Uni,WT
76,76,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/55",1580486326,nwg201,200131,2001310930par2,6.284043481380463e-09,1.5393246916179702e-06,1.2286004017844548e-06,1.6842074428696362e-06,Uni,WT
77,77,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/56",1580486636,nwg201,200131,2001310930par2,6.404119441571453e-09,1.3174265140383544e-06,1.3523158847216178e-06,1.4709743156527565e-06,Uni,WT
78,78,"/Imaging/par2_nebd/200131_nwg201_2001310930par2_tom4,15,60/57",1580486733,nwg201,200131,2001310930par2,6.313854957793615e-09,1.0237099616282541e-06,8.748215842509311e-07,1.2917276792952752e-06,Uni,WT
