,Unnamed: 0,Path,EmbryoID,Line,Date,RNAi,Cyt,Mem_tot,Mem_ant,Mem_post,UniPol,Genotype
0,0,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,30_",1580292350,lp637,200129,wt,1.0744708601583107e-08,2.3732116203335067e-06,-4.315152427215688e-08,5.533378388286372e-06,Pol,WT
1,1,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,30_1",1580292382,lp637,200129,wt,9.999841290984774e-09,2.2647436089201995e-06,-5.155793495255236e-08,5.484352414791219e-06,Pol,WT
2,2,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,30_2",1580292449,lp637,200129,wt,9.853956354370303e-09,2.213699909451785e-06,-5.4628178590476026e-08,5.374756053524278e-06,Pol,WT
3,3,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,60_",1580292501,lp637,200129,wt,9.86781474680708e-09,2.2323817358603664e-06,-5.6708516946831434e-08,5.300451426589048e-06,Pol,WT
4,4,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,60_1",1580292520,lp637,200129,wt,9.801107737608432e-09,2.21900031800395e-06,-5.7005039093818014e-08,5.221039581636317e-06,Pol,WT
5,5,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,60_2",1580292634,lp637,200129,wt,8.981609423437594e-09,1.8218079956817162e-06,7.847368976875751e-08,4.119715518119059e-06,Pol,WT
6,6,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,60_3",1580292710,lp637,200129,wt,1.0421224709748606e-08,1.955786889163225e-06,-4.3499043124827585e-08,4.74196447450068e-06,Pol,WT
7,7,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,60_4",1580292794,lp637,200129,wt,1.1519081586002117e-08,2.202662611060021e-06,-6.032039543055528e-08,4.981104705277786e-06,Pol,WT
8,8,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200129_lp637_wt_tom4,15,60/15,60_5",1580292871,lp637,200129,wt,1.0576347822941118e-08,2.364158298183119e-06,-7.719778188456688e-08,5.5247541429210415e-06,Pol,WT
17,17,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001301800par2_tom4,15,60/00",1580465014,lp637,200131,2001301800par2,3.2037569024213896e-09,1.5253618230275597e-07,6.381869334490866e-08,3.523498798030676e-07,Pol,WT
18,18,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001301800par2_tom4,15,60/01",1580465112,lp637,200131,2001301800par2,2.545796895123678e-09,7.859880381939776e-08,4.756578329250309e-08,1.3968798003498498e-07,Pol,WT
19,19,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001301800par2_tom4,15,60/02",1580465526,lp637,200131,2001301800par2,2.8294444345109883e-09,1.051430515040043e-07,3.7771368383319333e-08,2.4065932570034487e-07,Pol,WT
20,20,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001301800par2_tom4,15,60/03",1580465615,lp637,200131,2001301800par2,3.4752810404987003e-09,1.2723844876615597e-07,3.520274217284452e-08,3.341973308607197e-07,Pol,WT
21,21,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001301800par2_tom4,15,60/04",1580465704,lp637,200131,2001301800par2,3.433408974150084e-09,1.8235032037948824e-07,2.8159382464016097e-08,5.413172823679916e-07,Pol,WT
24,24,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001301800par2_tom4,15,60/06",1580466806,nwg201,200131,2001301800par2,2.568473895542801e-09,1.8737484486269984e-07,1.3626366042179725e-07,2.3379241567472268e-07,Uni,WT
25,25,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001301800par2_tom4,15,60/07",1580466933,nwg201,200131,2001301800par2,6.489148367839199e-10,9.38229655393954e-08,6.119516350826826e-08,1.0308888776373897e-07,Uni,WT
26,26,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001301800par2_tom4,15,60/08",1580467263,nwg201,200131,2001301800par2,2.266961032889066e-09,8.726332609297381e-08,8.690864740951227e-08,1.4883212459924946e-07,Uni,WT
27,27,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001301800par2_tom4,15,60/09",1580467394,nwg201,200131,2001301800par2,1.5561692096143717e-09,5.2620498998054876e-08,2.8758060446264987e-08,6.109871100928398e-08,Uni,WT
28,28,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001301800par2_tom4,15,60/10",1580467481,nwg201,200131,2001301800par2,1.853648756313019e-09,9.627997189825237e-08,8.509023392896872e-08,1.3574896307330194e-07,Uni,WT
29,29,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001301800par2_tom4,15,60/11",1580467559,nwg201,200131,2001301800par2,1.7290915141245889e-09,6.896520381063385e-08,6.116209055063682e-08,7.811080558656481e-08,Uni,WT
38,38,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_wt_tom4,15,60/18",1580469608,nwg201,200131,wt,7.250984809498151e-09,2.0985147327374146e-06,2.0537325171906472e-06,2.3991805497376373e-06,Uni,WT
39,39,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_wt_tom4,15,60/19",1580469705,nwg201,200131,wt,7.318394294469658e-09,1.944504009845887e-06,1.7137337000323648e-06,2.3797016630786437e-06,Uni,WT
40,40,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_wt_tom4,15,60/20",1580469806,nwg201,200131,wt,7.939922983572733e-09,2.378983048040433e-06,1.9896622688754133e-06,2.6664568117610772e-06,Uni,WT
41,41,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_wt_tom4,15,60/21",1580469929,nwg201,200131,wt,8.29334891860813e-09,2.0345424998502257e-06,2.128375721717084e-06,2.3670278736043683e-06,Uni,WT
42,42,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_wt_tom4,15,60/22",1580470040,nwg201,200131,wt,8.723668325335258e-09,2.3254010156232767e-06,2.423995410036403e-06,2.430948448284468e-06,Uni,WT
46,46,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001310930par2_tom4,15,60/30",1580477460,lp637,200131,2001310930par2,1.1078862683208841e-08,1.9072429890519239e-06,-5.493754469432015e-08,5.2161704144703936e-06,Pol,WT
47,47,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001310930par2_tom4,15,60/32",1580477805,lp637,200131,2001310930par2,1.080368273943157e-08,1.8509390611857112e-06,-4.1906313862260616e-08,4.401049072554698e-06,Pol,WT
48,48,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001310930par2_tom4,15,60/33",1580477895,lp637,200131,2001310930par2,1.077260128729228e-08,2.4123999947204267e-06,-5.345373036326099e-08,6.343185485614853e-06,Pol,WT
49,49,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_lp637_2001310930par2_tom4,15,60/34",1580478174,lp637,200131,2001310930par2,1.098522706018902e-08,1.9010610647958087e-06,-5.270864731699053e-08,4.72293487754212e-06,Pol,WT
50,50,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001310930par2_tom4,15,60/34",1580478374,nwg201,200131,2001310930par2,7.80024982710832e-09,2.132642398641295e-06,1.8719918028334846e-06,2.3171796617505875e-06,Uni,WT
51,51,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001310930par2_tom4,15,60/35",1580478458,nwg201,200131,2001310930par2,6.759319422565639e-09,2.0126296835640115e-06,2.0229854629333684e-06,2.407700892210375e-06,Uni,WT
52,52,"/Users/blandt/Desktop/Paper data//Imaging/PAR-2 NEBD/200131_nwg201_2001310930par2_tom4,15,60/36",1580478555,nwg201,200131,2001310930par2,7.309611655952876e-09,1.6728164768047024e-06,1.6921897207642692e-06,1.9968780509111056e-06,Uni,WT
