Strain,Genotype,Plate,L4s 23/4/22,Eggs 23/4/22,Total 23/4/22,Lethality,Sterile 25/4/22,Gravid 25/4/22,Sterility
NWG376,GCN4,1,34,0,34,0,0,,0
NWG376,GCN4,2,14,0,14,0,0,,0
NWG376,GCN4,3,22,1,23,0.043478261,0,,0
NWG376,GCN4,4,35,1,36,0.027777778,0,,0
NWG376,GCN4,5,38,0,38,0,0,,0
NWG376,GCN4,6,31,0,31,0,0,,0
NWG376,GCN4,7,34,1,35,0.028571429,0,,0
NWG376,GCN4,8,35,0,35,0,0,,0
NWG376,GCN4,9,38,0,38,0,0,,0
NWG376,GCN4,10,35,0,35,0,0,,0
LP637,WT,1,43,0,43,0,0,,0
LP637,WT,2,35,0,35,0,0,,0
LP637,WT,3,30,0,30,0,0,,0
LP637,WT,4,33,0,33,0,0,,0
LP637,WT,5,42,0,42,0,0,,0
LP637,WT,6,35,0,35,0,0,,0
LP637,WT,7,37,0,37,0,0,,0
LP637,WT,8,41,0,41,0,0,,0
LP637,WT,9,33,0,33,0,0,,0
LP637,WT,10,35,0,35,0,0,,0
NWG192,R183-5A,1,31,2,33,0.060606061,0,,0
NWG192,R183-5A,2,37,1,38,0.026315789,0,,0
NWG192,R183-5A,3,34,1,35,0.028571429,1,,0.028571429
NWG192,R183-5A,4,23,0,23,0,0,,0
NWG192,R183-5A,5,26,1,27,0.037037037,0,,0
NWG192,R183-5A,6,23,2,25,0.08,0,,0
NWG192,R183-5A,7,35,5,40,0.125,1,,0.025
NWG192,R183-5A,8,21,2,23,0.086956522,0,,0
NWG192,R183-5A,9,31,1,32,0.03125,0,,0
NWG192,R183-5A,10,26,2,28,0.071428571,0,,0
NWG338,L109R,1,6,20,26,0.769230769,1,4,0.2
NWG338,L109R,2,2,8,10,0.8,2,0,1
NWG338,L109R,3,1,35,36,0.972222222,1,0,1
NWG338,L109R,4,6,26,32,0.8125,5,1,0.833333333
NWG338,L109R,5,0,38,38,1,0,0,1
NWG338,L109R,6,5,30,35,0.857142857,3,2,0.6
NWG338,L109R,7,5,23,28,0.821428571,3,2,0.6
NWG338,L109R,8,4,28,32,0.875,5,0,1
NWG398,"L109R, GCN4",1,17,9,26,0.346153846,11,5,0.6875
NWG398,"L109R, GCN4",2,24,2,26,0.076923077,21,3,0.875
NWG398,"L109R, GCN4",3,17,11,28,0.392857143,16,2,0.888888889
NWG398,"L109R, GCN4",4,28,0,28,0,12,10,0.545454545
NWG398,"L109R, GCN4",5,31,1,32,0.03125,15,8,0.652173913
NWG398,"L109R, GCN4",6,15,7,22,0.318181818,11,1,0.916666667
NWG398,"L109R, GCN4",7,8,2,10,0.2,6,0,1
NWG398,"L109R, GCN4",8,18,6,24,0.25,12,4,0.75
NWG398,"L109R, GCN4",9,16,13,29,0.448275862,7,7,0.5
NWG398,"L109R, GCN4",10,28,0,28,0,15,6,0.714285714
NWG240,C56S,1,0,,1,1,0,0,1
NWG240,C56S,2,0,,1,1,0,0,1
NWG240,C56S,3,0,,1,1,0,0,1
NWG240,C56S,4,0,,1,1,0,0,1
NWG240,C56S,5,0,,1,1,0,0,1
NWG240,C56S,6,0,,1,1,0,0,1
NWG240,C56S,7,0,,1,1,0,0,1
NWG240,C56S,8,0,,1,1,0,0,1
NWG240,C56S,9,0,,1,1,0,0,1
NWG240,C56S,10,0,,1,1,0,0,1
