EmbryoID,Path,Line,Condition,Cyt,Mem_tot,Mem_ant,Mem_post,ASI,Dosage,Total
0,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/10",n2,wt,-6.804286499999993,3.8659874330000035,0.39976500000000315,6.35184710392157,0.8815793935294933,-108.0847094313068,-6.131604686657992
1,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/11",n2,wt,16.46136999999999,278.3260151351001,114.05445458823529,450.97615763745097,0.5962892908086216,57.15175189278107,64.8900966335074
2,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/12",n2,wt,0.14963938,127.89155003139996,64.85003688058823,190.17402907784316,0.4914202576382834,15.068714831143488,22.402769085463593
3,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/13",n2,wt,-5.610594699999991,-9.53365599999999,-15.161494333333332,-4.215313745098041,-0.5649114417569968,-154.42228678048494,-7.269450843999989
4,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_n2_wt_tom4,15,60,eb,20beads/14",n2,wt,95.96574399999994,281.214670765,254.50762,308.6554338529412,0.09614944283450956,186.18531037903773,144.89709671310993
5,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/01",nwg313,par2,341.0769299999996,1847.3845810000005,1660.1841588235293,2042.9924235294118,0.10337294379374479,830.0047943910536,662.5218470939997
6,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/02",nwg313,par2,348.2424299999993,2015.0926429999997,1876.322545098039,2156.535790196079,0.06948254111623878,865.8746523274384,698.8685498819992
7,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/03",nwg313,par2,323.8399700000007,1815.5257299999992,1970.6137470588237,1650.4715882352937,-0.08841055351641608,806.5837590313919,639.7414470200006
8,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/04",nwg313,par2,328.2384999999997,1813.7695460000011,1701.025480392157,1910.9327470588235,0.058114533294257247,820.15959322623,643.8344010039998
9,"/Users/blandt/Desktop/Paper data/Imaging/RING PH/201111_nwg313_par2_tom4,15,60,eb,beads/05",nwg313,par2,378.2315999999994,2278.838443,2007.4364725490193,2533.4728823529413,0.11584384727611001,965.0193464078951,774.7494890819994
