,EmbryoID,Position,Membrane signal,Cytoplasmic signal
0,0,0,54.591652,-6.3675065
1,0,1,35.40944,-6.3675065
2,0,2,-19.77668,-6.3675065
3,0,3,-19.77668,-6.3675065
4,0,4,-19.77668,-6.3675065
5,0,5,-19.77668,-6.3675065
6,0,6,-19.77668,-6.3675065
7,0,7,-19.77668,-6.3675065
8,0,8,-19.77668,-6.3675065
9,0,9,-19.77668,-6.3675065
10,0,10,20.615997,-6.3675065
11,0,11,398.5277,-6.3675065
12,0,12,-19.77668,-6.3675065
13,0,13,-19.77668,-6.3675065
14,0,14,-19.77668,-6.3675065
15,0,15,-19.77668,-6.3675065
16,0,16,-19.77668,-6.3675065
17,0,17,-19.77668,-6.3675065
18,0,18,-19.77668,-6.3675065
19,0,19,-19.77668,-6.3675065
20,0,20,-19.77668,-6.3675065
21,0,21,-19.77668,-6.3675065
22,0,22,-19.77668,-6.3675065
23,0,23,-19.77668,-6.3675065
24,0,24,-19.77668,-6.3675065
25,0,25,-19.77668,-6.3675065
26,0,26,-19.77668,-6.3675065
27,0,27,-19.77668,-6.3675065
28,0,28,-19.77668,-6.3675065
29,0,29,-19.77668,-6.3675065
30,0,30,319.54086,-6.3675065
31,0,31,-19.77668,-6.3675065
32,0,32,-19.77668,-6.3675065
33,0,33,-19.77668,-6.3675065
34,0,34,-19.77668,-6.3675065
35,0,35,-19.77668,-6.3675065
36,0,36,-19.77668,-6.3675065
37,0,37,-19.77668,-6.3675065
38,0,38,-19.77668,-6.3675065
39,0,39,-19.77668,-6.3675065
40,0,40,-19.77668,-6.3675065
41,0,41,-19.77668,-6.3675065
42,0,42,-19.77668,-6.3675065
43,0,43,-19.77668,-6.3675065
44,0,44,-19.77668,-6.3675065
45,0,45,-19.77668,-6.3675065
46,0,46,136.19576,-6.3675065
47,0,47,-19.77668,-6.3675065
48,0,48,-19.77668,-6.3675065
49,0,49,-19.77668,-6.3675065
50,0,50,107.41924,-6.3675065
51,0,51,-19.77668,-6.3675065
52,0,52,-19.77668,-6.3675065
53,0,53,97.04295,-6.3675065
54,0,54,46.887585,-6.3675065
55,0,55,-19.77668,-6.3675065
56,0,56,-19.77668,-6.3675065
57,0,57,-19.77668,-6.3675065
58,0,58,54.338383,-6.3675065
59,0,59,-19.77668,-6.3675065
60,0,60,-19.77668,-6.3675065
61,0,61,-19.77668,-6.3675065
62,0,62,-19.77668,-6.3675065
63,0,63,-19.77668,-6.3675065
64,0,64,-19.77668,-6.3675065
65,0,65,-19.77668,-6.3675065
66,0,66,-19.77668,-6.3675065
67,0,67,-19.77668,-6.3675065
68,0,68,-19.77668,-6.3675065
69,0,69,50.091904,-6.3675065
70,0,70,-19.77668,-6.3675065
71,0,71,-19.77668,-6.3675065
72,0,72,-19.77668,-6.3675065
73,0,73,-19.77668,-6.3675065
74,0,74,-19.77668,-6.3675065
75,0,75,-19.77668,-6.3675065
76,0,76,-19.77668,-6.3675065
77,0,77,-19.77668,-6.3675065
78,0,78,-19.77668,-6.3675065
79,0,79,-19.77668,-6.3675065
80,0,80,-19.77668,-6.3675065
81,0,81,-19.77668,-6.3675065
82,0,82,243.05644,-6.3675065
83,0,83,-19.77668,-6.3675065
84,0,84,-19.77668,-6.3675065
85,0,85,203.07231,-6.3675065
86,0,86,-19.77668,-6.3675065
87,0,87,-19.77668,-6.3675065
88,0,88,-19.77668,-6.3675065
89,0,89,-19.77668,-6.3675065
90,0,90,-19.77668,-6.3675065
91,0,91,-19.77668,-6.3675065
92,0,92,-19.77668,-6.3675065
93,0,93,-19.77668,-6.3675065
94,0,94,-19.77668,-6.3675065
95,0,95,65.258385,-6.3675065
96,0,96,-19.77668,-6.3675065
97,0,97,-19.77668,-6.3675065
98,0,98,-6.375153,-6.3675065
99,0,99,-19.77668,-6.3675065
0,1,0,241.14375,16.122337
1,1,1,382.81937,16.122337
2,1,2,174.28975,16.122337
3,1,3,808.4435,16.122337
4,1,4,839.7111,16.122337
5,1,5,812.54297,16.122337
6,1,6,110.126175,16.122337
7,1,7,-27.976597,16.122337
8,1,8,-8.522844,16.122337
9,1,9,748.5292,16.122337
10,1,10,701.5061,16.122337
11,1,11,382.18387,16.122337
12,1,12,499.60974,16.122337
13,1,13,1288.8536,16.122337
14,1,14,362.70862,16.122337
15,1,15,210.312,16.122337
16,1,16,329.16238,16.122337
17,1,17,358.4808,16.122337
18,1,18,832.06866,16.122337
19,1,19,467.36258,16.122337
