Line,Alternative,Neon,C56S,L109R,L50R,GCN4,6HNL,S241A,PRBH3,it71,Single copy
n2,,0,0,0,0,0,0,0,0,0,0
lp637,nwg325,1,0,0,0,0,0,0,0,0,0
lp637bal,nwg325bal,1,0,0,0,0,0,0,0,0,0
nwg201,,1,0,0,0,0,0,0,0,1,0
nwg240,,1,1,0,0,0,0,0,0,0,0
nwg240bal,,1,1,0,0,0,0,0,0,0,1
nwg246,,1,1,0,0,0,0,0,0,1,0
nwg338,,1,0,1,0,0,0,0,0,0,0
nwg338bal,,1,0,1,0,0,0,0,0,0,1
nwg351,,1,0,1,1,0,0,0,0,0,0
nwg369,,1,0,1,0,0,0,0,0,1,0
nwg374,,1,0,0,0,0,0,1,0,0,0
nwg376,nwg377,1,0,0,0,1,0,0,0,0,0
nwg398,nwg399,1,0,1,0,1,0,0,0,0,0
nwg400,,1,0,0,1,0,0,0,0,0,0
nwg400bal,,1,0,0,1,0,0,0,0,0,1
nwg407,nwg408,1,1,1,0,0,0,0,0,0,0
nwg437,,1,0,0,0,1,0,0,0,1,0
nwg456,,1,0,1,0,1,0,0,0,1,0
nwg465,,1,0,0,0,1,0,1,0,0,0
nwg482,nwg481,1,0,0,0,0,1,0,0,0,0
nwg489,,1,0,0,0,1,0,0,1,0,0
nwg495,,1,0,0,0,0,0,0,1,0,0
nwg496,,1,0,1,0,0,1,0,0,0,0
nwg497,,1,0,0,0,0,0,1,1,0,0
nwg498,,1,0,0,0,1,0,1,1,0,0
nwg381,,1,1,0,0,1,0,0,0,0,0
